timestamp,open,high,low,close,volume
2025-04-07 04:00:00,486.9,491.09,482.96,488.5,122168
2025-04-07 04:05:00,488.37,488.7,486.8,488.18,72548
2025-04-07 04:10:00,488.08,488.35,485.73,487.0,67702
2025-04-07 04:15:00,487.0,490.07,487.0,489.57,90831
2025-04-07 04:20:00,489.68,489.94,488.23,489.3,37532
2025-04-07 04:25:00,489.41,489.9,487.94,489.0,82269
2025-04-07 04:30:00,488.65,489.64,487.4,489.64,43291
2025-04-07 04:35:00,489.7,490.68,489.15,489.82,33935
2025-04-07 04:40:00,489.96,490.54,489.62,489.91,21210
2025-04-07 04:45:00,489.8,490.31,488.9,489.46,43907
2025-04-07 04:50:00,489.21,490.19,488.36,488.36,46981
2025-04-07 04:55:00,488.51,488.86,487.84,487.87,27874
2025-04-07 05:00:00,487.77,488.77,487.49,487.89,42897
2025-04-07 05:05:00,487.76,487.88,486.31,486.66,47030
2025-04-07 05:10:00,487.0,487.81,486.6,487.06,44244
2025-04-07 05:15:00,487.1,487.22,485.42,485.42,21063
2025-04-07 05:20:00,485.4,485.92,484.84,485.03,26443
2025-04-07 05:25:00,485.24,487.3,484.83,487.12,36041
2025-04-07 05:30:00,486.96,488.52,486.9,488.4,19403
2025-04-07 05:35:00,488.47,489.47,487.94,489.45,60234
2025-04-07 05:40:00,489.44,489.56,488.89,489.33,16612
2025-04-07 05:45:00,489.36,490.55,488.87,490.3,29650
2025-04-07 05:50:00,490.05,490.62,490.05,490.37,15049
2025-04-07 05:55:00,490.27,490.49,488.59,488.8,31441
2025-04-07 06:00:00,488.83,492.35,487.69,491.06,285978
2025-04-07 06:05:00,491.03,493.04,491.01,492.65,48435
2025-04-07 06:10:00,492.52,493.79,492.2,493.35,57420
2025-04-07 06:15:00,493.54,494.58,492.7,494.16,31919
2025-04-07 06:20:00,494.28,495.28,493.8,494.96,76171
2025-04-07 06:25:00,494.79,494.79,492.47,493.51,121907
2025-04-07 06:30:00,493.45,494.74,492.49,494.7,39166
2025-04-07 06:35:00,494.52,498.3,494.07,498.16,93511
2025-04-07 06:40:00,498.11,498.9,496.15,498.41,83463
2025-04-07 06:45:00,498.23,498.7,495.99,496.24,148761
2025-04-07 06:50:00,496.3,497.51,495.0,495.55,122156
2025-04-07 06:55:00,495.43,495.86,493.66,494.81,70901
2025-04-07 07:00:00,494.66,496.4,493.93,496.35,251578
2025-04-07 07:05:00,496.3,498.02,496.12,497.93,127008
2025-04-07 07:10:00,497.94,498.58,496.87,497.01,112244
2025-04-07 07:15:00,496.89,497.11,495.64,496.26,95579
2025-04-07 07:20:00,496.5,497.29,495.44,495.6,117751
2025-04-07 07:25:00,495.61,497.22,494.79,496.38,76327
2025-04-07 07:30:00,496.35,496.6,494.43,494.61,130533
2025-04-07 07:35:00,494.74,494.93,492.1,493.73,169284
2025-04-07 07:40:00,493.7,494.57,493.4,493.47,83598
2025-04-07 07:45:00,493.3,494.33,492.7,492.93,43133
2025-04-07 07:50:00,492.86,493.4,492.09,492.74,89700
2025-04-07 07:55:00,492.69,494.23,492.53,493.47,90377
2025-04-07 08:00:00,493.41,498.78,480.0,493.49,1943881
2025-04-07 08:05:00,493.34,493.44,491.69,492.1,133854
2025-04-07 08:10:00,492.09,492.3,491.03,492.21,189281
2025-04-07 08:15:00,492.2,492.6,490.7,490.9191,104032
2025-04-07 08:20:00,490.7409,492.31,490.7409,492.3,75101
2025-04-07 08:25:00,492.21,496.81,491.93,495.9,610431
2025-04-07 08:30:00,495.95,497.6,494.64,495.51,509350
2025-04-07 08:35:00,495.44,495.89,493.8501,494.2401,242763
2025-04-07 08:40:00,494.18,494.46,492.4625,493.03,229537
2025-04-07 08:45:00,493.04,496.45,490.5,493.53,845409
2025-04-07 08:50:00,493.48,496.47,493.33,495.62,485891
2025-04-07 08:55:00,495.61,497.4,495.3,496.11,323805
2025-04-07 09:00:00,496.07,496.07,493.17,493.25,387152
2025-04-07 09:05:00,493.45,494.27,492.14,492.17,240314
2025-04-07 09:10:00,492.25,493.68,491.38,492.7,240647
2025-04-07 09:15:00,492.59,492.74,491.04,491.73,108336
2025-04-07 09:20:00,491.71,492.2199,490.83,490.93,128443
2025-04-07 09:25:00,490.86,491.84,488.72,489.21,859555
2025-04-07 09:30:00,489.19,489.3,486.38,487.6,5188487
2025-04-07 09:35:00,487.575,487.82,483.77,485.875,3275454
2025-04-07 09:40:00,485.86,486.48,481.8,483.865,3987348
2025-04-07 09:45:00,483.84,488.78,482.51,487.79,3453194
2025-04-07 09:50:00,487.79,492.345,487.3851,492.228,3579034
2025-04-07 09:55:00,492.2,496.46,491.2,495.69,3310837
2025-04-07 10:00:00,495.67,497.44,493.37,494.75,4119937
2025-04-07 10:05:00,494.76,497.0,493.84,494.57,2307702
2025-04-07 10:10:00,494.53,517.435,494.39,513.78,11393503
2025-04-07 10:15:00,513.835,523.17,513.33,514.55,10216683
2025-04-07 10:20:00,514.53,514.595,499.0,499.71,8920844
2025-04-07 10:25:00,499.76,505.17,497.47,498.19,4790530
2025-04-07 10:30:00,498.21,505.93,496.81,499.02,5433422
2025-04-07 10:35:00,499.02,500.01,493.82,494.05,4598219
2025-04-07 10:40:00,494.035,500.5699,493.67,499.99,3046898
2025-04-07 10:45:00,500.0,501.93,497.44,500.8017,2629561
2025-04-07 10:50:00,500.9,508.78,500.3,508.1212,2616699
2025-04-07 10:55:00,508.04,508.27,504.715,505.91,1875892
2025-04-07 11:00:00,505.88,509.77,504.45,508.06,2433419
2025-04-07 11:05:00,508.08,508.11,501.9,502.17,2062448
2025-04-07 11:10:00,502.16,504.49,495.07,496.34,4156726
2025-04-07 11:15:00,496.24,499.17,492.66,498.04,6451915
2025-04-07 11:20:00,497.99,500.63,493.87,494.15,3036293
2025-04-07 11:25:00,494.19,495.77,493.5,493.75,1978201
2025-04-07 11:30:00,493.75,497.49,493.73,496.87,2131412
2025-04-07 11:35:00,496.96,500.98,496.82,498.68,2341061
2025-04-07 11:40:00,498.68,503.98,498.06,503.44,1788255
2025-04-07 11:45:00,503.37,503.71,500.5,502.0,1555228
2025-04-07 11:50:00,502.03,503.72,499.57,499.785,1150710
2025-04-07 11:55:00,499.785,501.87,499.46,499.5,955671
2025-04-07 12:00:00,499.5,499.64,497.75,498.8997,918438
2025-04-07 12:05:00,498.92,498.945,496.11,496.422,1007040
2025-04-07 12:10:00,496.4,498.28,495.27,497.21,1126871
2025-04-07 12:15:00,497.22,497.98,495.465,497.44,747465
2025-04-07 12:20:00,497.4,497.99,495.015,497.4,923299
2025-04-07 12:25:00,497.46,500.52,497.35,499.56,952813
2025-04-07 12:30:00,499.56,501.77,498.96,500.85,966669
2025-04-07 12:35:00,500.94,500.95,499.26,499.39,705389
2025-04-07 12:40:00,499.34,500.4,496.85,497.85,842151
2025-04-07 12:45:00,497.81,497.81,495.54,496.98,822875
2025-04-07 12:50:00,496.98,497.89,496.0,497.57,702014
2025-04-07 12:55:00,497.61,497.97,494.7,495.68,1165416
2025-04-07 13:00:00,495.63,503.08,495.59,496.815,3005372
2025-04-07 13:05:00,496.83,498.14,495.63,497.58,1027164
2025-04-07 13:10:00,497.57,501.74,496.36,501.51,1210654
2025-04-07 13:15:00,501.51,503.63,500.62,502.77,1414380
2025-04-07 13:20:00,502.84,504.07,501.84,503.1,1144516
2025-04-07 13:25:00,503.12,505.94,502.56,505.62,1120929
2025-04-07 13:30:00,505.62,505.93,502.16,503.915,898426
2025-04-07 13:35:00,503.91,506.34,503.12,506.2515,1094670
2025-04-07 13:40:00,506.26,507.1,504.29,507.0,1209290
2025-04-07 13:45:00,506.94,509.23,504.59,507.605,2538643
2025-04-07 13:50:00,507.68,508.84,506.41,507.79,1308822
2025-04-07 13:55:00,507.79,509.36,506.54,509.09,885061
2025-04-07 14:00:00,509.07,510.0,507.45,508.23,1307007
2025-04-07 14:05:00,508.29,508.44,505.5901,507.24,941763
2025-04-07 14:10:00,507.17,508.91,505.18,506.19,1010963
2025-04-07 14:15:00,506.19,510.0,505.9604,509.51,1202866
2025-04-07 14:20:00,509.48,510.47,507.86,509.1,1219267
2025-04-07 14:25:00,509.15,509.31,504.66,505.19,957213
2025-04-07 14:30:00,505.15,506.47,504.81,506.02,797257
2025-04-07 14:35:00,506.02,507.86,505.5,507.33,794308
2025-04-07 14:40:00,507.36,508.34,506.23,506.69,723013
2025-04-07 14:45:00,506.71,507.68,504.95,506.0001,932184
2025-04-07 14:50:00,506.02,506.24,503.37,503.555,1019130
2025-04-07 14:55:00,503.56,504.02,502.28,503.21,1027952
2025-04-07 15:00:00,503.25,506.31,502.92,503.69,1839945
2025-04-07 15:05:00,503.74,504.32,501.56,501.88,880743
2025-04-07 15:10:00,501.7,502.41,500.9203,501.77,1119436
2025-04-07 15:15:00,501.74,504.33,500.14,503.605,1636427
2025-04-07 15:20:00,503.55,504.29,501.59,502.21,1411668
2025-04-07 15:25:00,502.16,502.815,500.42,500.605,1443285
2025-04-07 15:30:00,500.605,506.17,500.56,504.99,1946684
2025-04-07 15:35:00,505.03,506.64,504.0,504.58,1507171
2025-04-07 15:40:00,504.6,504.97,501.25,501.5,1698382
2025-04-07 15:45:00,501.45,502.88,501.02,502.63,2487736
2025-04-07 15:50:00,502.54,503.456,500.8,503.27,2683036
2025-04-07 15:55:00,503.28,505.15,503.1932,504.55,5125174
2025-04-07 16:00:00,504.55,507.35,503.83,507.34,4261393
2025-04-07 16:05:00,507.3101,508.4,506.72,507.64,1442950
2025-04-07 16:10:00,507.73,508.81,504.4,507.47,2959998
2025-04-07 16:15:00,507.5494,509.14,507.5494,508.41,159430
2025-04-07 16:20:00,508.49,508.59,507.17,507.39,234523
2025-04-07 16:25:00,507.39,507.5499,506.5,507.0,140622
2025-04-07 16:30:00,507.1,507.52,507.02,507.16,101603
2025-04-07 16:35:00,507.15,507.42,504.4147,506.61,106651
2025-04-07 16:40:00,506.6,507.51,504.4147,507.3,133387
2025-04-07 16:45:00,507.14,507.17,504.4141,506.53,207097
2025-04-07 16:50:00,506.53,506.8699,506.37,506.79,21552
2025-04-07 16:55:00,506.6,506.64,505.68,506.45,86152
2025-04-07 17:00:00,506.49,506.69,506.35,506.45,13630
2025-04-07 17:05:00,506.45,506.85,506.45,506.6,33377
2025-04-07 17:10:00,506.7,507.1011,506.7,506.96,51717
2025-04-07 17:15:00,506.96,507.2,506.96,507.15,77083
2025-04-07 17:20:00,507.15,507.2,507.0015,507.1,86478
2025-04-07 17:25:00,507.1,507.1,507.0005,507.1,21072
2025-04-07 17:30:00,507.09,507.2,507.02,507.19,39435
2025-04-07 17:35:00,507.19,507.25,507.06,507.25,28097
2025-04-07 17:40:00,507.25,507.5,507.22,507.47,29099
2025-04-07 17:45:00,507.42,507.42,507.0,507.11,22490
2025-04-07 17:50:00,507.1101,507.33,507.1101,507.33,11767
2025-04-07 17:55:00,507.35,507.44,507.1101,507.1101,28415
2025-04-07 18:00:00,507.17,507.67,506.66,507.0,36382
2025-04-07 18:05:00,507.01,507.65,507.01,507.5,28923
2025-04-07 18:10:00,507.5,507.86,507.47,507.75,19903
2025-04-07 18:15:00,507.7,508.1,507.6,507.61,13732
2025-04-07 18:20:00,507.5,508.25,507.48,508.22,38175
2025-04-07 18:25:00,508.22,508.35,507.93,508.35,23809
2025-04-07 18:30:00,508.3596,508.5,508.0279,508.08,79359
2025-04-07 18:35:00,508.0,508.23,507.75,508.13,106635
2025-04-07 18:40:00,508.1037,508.44,507.9,508.419,16710
2025-04-07 18:45:00,508.3062,508.3062,508.08,508.17,1623
2025-04-07 18:50:00,508.46,508.69,508.46,508.62,3950
2025-04-07 18:55:00,508.6,509.1,508.6,509.1,35205
2025-04-07 19:00:00,509.1,509.5,509.0,509.5,5063
2025-04-07 19:05:00,509.45,509.98,509.25,509.89,38489
2025-04-07 19:10:00,509.978,510.21,509.9,510.12,14222
2025-04-07 19:15:00,510.2,510.24,509.33,509.6014,35315
2025-04-07 19:20:00,509.73,510.2,509.45,509.57,71167
2025-04-07 19:25:00,509.52,509.7,509.35,509.58,16479
2025-04-07 19:30:00,509.8,509.8,509.459,509.459,9170
2025-04-07 19:35:00,509.4,509.78,509.1901,509.29,15451
2025-04-07 19:40:00,509.2,509.21,508.95,509.15,11144
2025-04-07 19:45:00,509.21,510.0,509.21,509.78,15876
2025-04-07 19:50:00,509.87,509.89,509.0,509.24,25897
2025-04-07 19:55:00,509.22,509.969,509.0578,509.53,12353
2025-04-08 04:00:00,510.22,513.53,510.22,513.21,21679
2025-04-08 04:05:00,513.12,513.12,512.19,512.31,14575
2025-04-08 04:10:00,512.37,512.37,511.35,511.56,15337
2025-04-08 04:15:00,511.35,511.83,511.1,511.65,17200
2025-04-08 04:20:00,511.7,512.0,510.53,510.66,18114
2025-04-08 04:25:00,510.56,510.58,510.07,510.42,4873
2025-04-08 04:30:00,510.55,511.69,510.5,511.49,8014
2025-04-08 04:35:00,511.45,512.21,511.25,512.15,7451
2025-04-08 04:40:00,512.21,512.59,511.96,512.33,4461
2025-04-08 04:45:00,512.44,512.55,512.2,512.48,9233
2025-04-08 04:50:00,512.15,512.6,511.72,512.5,4203
2025-04-08 04:55:00,512.65,512.91,512.63,512.88,13974
2025-04-08 05:00:00,512.5,512.81,512.12,512.46,13412
2025-04-08 05:05:00,512.53,512.82,512.4,512.76,5908
2025-04-08 05:10:00,512.9,512.98,512.65,512.81,37245
